date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2021-01-04,sz.000063,418.992816,437.78400896,415.43772544,435.87949616,427.2457048,129647346,4343079819.9,3.7294,2.0208,1,0
2021-01-05,sz.000063,431.43563296,446.03689776,427.2457048,438.16491152,435.87949616,125476595,4335249510.05,3.6094,0.5243,1,0
2021-01-06,sz.000063,441.8469696,442.73574224,423.05577664,426.99176976,438.16491152,91774305,3107165902.16,2.64,-2.55,1,0
2021-01-07,sz.000063,422.8018416,422.92880912,408.96238192,414.80288784,426.99176976,92104324,3015595641.71,2.6495,-2.8546,1,0
2021-01-08,sz.000063,413.2792776,445.0211576,411.12082976,430.4198928,414.80288784,133819219,4560448155.86,3.8494,3.7649,1,0
2021-01-11,sz.000063,434.10195088,445.0211576,427.62660736,443.49754736,430.4198928,148815767,5160286057.35,4.2808,3.0383,1,0
2021-01-12,sz.000063,445.6559952,448.8301832,436.26039872,448.44928064,443.49754736,133362914,4659834868.99,3.8363,1.1165,1,0
2021-01-13,sz.000063,452.51224128,472.82704448,447.05263792,466.22473344,448.44928064,202807344,7377001170.51,5.8339,3.9638,1,0
2021-01-14,sz.000063,462.1617728,468.12924624,450.734696,455.94036432,466.22473344,140349436,5083157258.73,4.0373,-2.2059,1,0
2021-01-15,sz.000063,456.06733184,456.70216944,440.95819696,445.6559952,455.94036432,88885676,3131426270.55,2.5569,-2.2556,1,0
2021-01-18,sz.000063,448.1953456,465.71686336,445.6559952,461.27300016,445.6559952,112508346,4065911565.12,3.2364,3.5043,1,0
2021-01-19,sz.000063,462.54267536,470.92253168,452.25830624,455.30552672,461.27300016,101941151,3697034724.68,2.9324,-1.2937,1,0
2021-01-20,sz.000063,452.0043712,458.22577968,445.52902768,455.43249424,455.30552672,70012182,2484475730.07,2.014,0.0279,1,0
2021-01-21,sz.000063,455.30552672,455.30552672,440.5772944,448.44928064,455.43249424,93743220,3303233944.7,2.6966,-1.5333,1,0
2021-01-22,sz.000063,449.4650208,449.4650208,429.1502176,430.16595776,448.44928064,101234457,3472382141.81,2.9121,-4.077,1,0
2021-01-25,sz.000063,443.87844992,458.3527472,437.4031064,453.2740464,430.16595776,146625985,5192650171.04,4.2178,5.3719,1,0
2021-01-26,sz.000063,448.06837808,454.67068912,429.65808768,432.07047056,453.2740464,99995649,3463979657.39,2.8765,-4.6779,1,0
2021-01-27,sz.000063,432.45137312,438.6727816,430.16595776,430.67382784,432.07047056,54517394,1860660227.63,1.5682,-0.3232,1,0
2021-01-28,sz.000063,425.341192,425.341192,408.8354144,412.89837504,430.67382784,82246204,2687133488.64,2.3659,-4.1274,1,0
2021-01-29,sz.000063,416.4534656,417.0883032,403.7567136,408.70844688,412.89837504,50997069,1638766025.57,1.467,-1.0148,1,0
2021-02-01,sz.000063,406.04212896,413.9141152,402.61400592,410.35902464,408.70844688,37325635,1203302693.06,1.0737,0.4039,1,0
2021-02-02,sz.000063,409.470252,409.72418704,400.20162304,402.74097344,410.35902464,53298777,1698850066.47,1.5332,-1.8564,1,0
2021-02-03,sz.000063,398.6780128,416.32649808,395.63079232,405.53425888,402.74097344,65950621,2122733773.72,1.8972,0.6936,1,0
2021-02-04,sz.000063,398.6780128,402.4870384,388.13970864,399.82072048,405.53425888,86894997,2695921425.08,2.2527,-1.4089,1,0
2021-02-05,sz.000063,398.80498032,401.72523328,391.44086416,392.20266928,399.82072048,49682310,1545825529.1,1.288,-1.9054,1,0
2021-02-08,sz.000063,395.88472736,399.18588288,386.87003344,392.58357184,392.20266928,52464923,1621092537.75,1.3601,0.0971,1,0
2021-02-09,sz.000063,391.82176672,406.04212896,390.17118896,402.4870384,392.58357184,57652854,1817006352.24,1.4946,2.5226,1,0
2021-02-10,sz.000063,402.61400592,411.88263488,398.17014272,408.96238192,402.4870384,59296444,1890296466.03,1.5372,1.6088,1,0
2021-02-18,sz.000063,417.59617328,421.15126384,411.3747648,412.13656992,408.96238192,70531931,2309614734.44,1.8285,0.7762,1,0
2021-02-19,sz.000063,410.99386224,418.992816,405.6612264,418.3579784,412.13656992,56051236,1826080025.23,1.4531,1.5096,1,0
2021-02-22,sz.000063,419.11978352,423.30971168,414.67592032,415.1837904,418.3579784,69551049,2297330422.51,1.8031,-0.7587,1,0
2021-02-23,sz.000063,413.9141152,418.86584848,407.5657392,410.7399272,415.1837904,54616318,1773748473.48,1.4159,-1.0703,1,0
2021-02-24,sz.000063,410.86689472,416.19953056,403.88368112,407.31180416,410.7399272,51842852,1674615035.09,1.344,-0.8346,1,0
2021-02-25,sz.000063,412.51747248,413.2792776,405.78819392,406.04212896,407.31180416,40821020,1315054996.57,1.0583,-0.3117,1,0
2021-02-26,sz.000063,399.69375296,409.470252,398.55104528,403.24884352,406.04212896,44885586,1427095430.32,1.1636,-0.6879,1,0
2021-03-01,sz.000063,403.24884352,407.5657392,399.05891536,407.18483664,403.24884352,45016766,1433797019.05,1.167,0.9761,1,0
2021-03-02,sz.000063,408.96238192,414.67592032,404.64548624,408.2005768,407.18483664,55511508,1790110183.75,1.4391,0.2495,1,0
2021-03-03,sz.000063,410.99386224,413.15231008,405.28032384,410.48599216,408.2005768,45584066,1468204077.86,1.1817,0.5599,1,0
2021-03-04,sz.000063,410.61295968,412.64444,398.6780128,401.59826576,410.48599216,62162407,1982186017.35,1.6115,-2.1652,1,0
2021-03-05,sz.000063,393.98021456,405.15335632,393.599312,402.61400592,401.59826576,37636755,1188920362.95,0.9757,0.2529,1,0
2021-03-08,sz.000063,402.74097344,410.86689472,399.69375296,401.09039568,402.61400592,45703515,1457585471.61,1.1848,-0.3784,1,0
2021-03-09,sz.000063,399.18588288,399.947688,386.99700096,391.94873424,401.09039568,52365229,1620265940.63,1.3575,-2.2792,1,0
2021-03-10,sz.000063,395.63079232,397.15440256,387.250936,390.55209152,391.94873424,43488654,1338327211.35,1.1274,-0.3563,1,0
2021-03-11,sz.000063,391.31389664,401.97916832,388.01274112,398.6780128,390.55209152,52266869,1630546887.18,1.355,2.0806,1,0
2021-03-12,sz.000063,399.3128504,399.3128504,389.91725392,392.83750688,398.6780128,38224929,1182595505.28,0.991,-1.465,1,0
2021-03-15,sz.000063,385.85429328,385.85429328,353.6045432,358.30234144,392.83750688,137720729,3945298158.52,3.5703,-8.7912,1,0
2021-03-16,sz.000063,359.3180816,364.90465248,352.9697056,362.4922696,358.30234144,58866736,1663659446.6,1.5261,1.1694,1,0
2021-03-17,sz.000063,379.12501472,389.7902864,373.9193464,387.63183856,362.4922696,112331669,3393630353.65,2.9121,6.9352,1,0
2021-03-18,sz.000063,385.9812608,388.13970864,382.1722352,386.6160984,387.63183856,53867157,1631599210.53,1.3965,-0.262,1,0
2021-03-19,sz.000063,380.90256,383.4419104,374.30024896,374.93508656,386.6160984,46781808,1393157700.76,1.2128,-3.0213,1,0
2021-03-22,sz.000063,374.30024896,378.9980472,372.90360624,376.58566432,374.93508656,33248868,985090913.84,0.862,0.4402,1,0
2021-03-23,sz.000063,378.3632096,384.45765056,376.4586968,377.22050192,376.58566432,37726011,1129289024.53,0.978,0.1686,1,0
2021-03-24,sz.000063,377.0935344,377.22050192,368.205808,368.8406456,377.22050192,34157404,997609005.56,0.8855,-2.2215,1,0
2021-03-25,sz.000063,369.09458064,371.76089856,365.41252256,366.68219776,368.8406456,25757638,747912554.88,0.6678,-0.5852,1,0
2021-03-26,sz.000063,370.7451584,376.4586968,370.1103208,374.30024896,366.68219776,38267511,1125857558.49,0.9921,2.0776,1,0
2021-03-29,sz.000063,374.30024896,376.20476176,370.7451584,371.379996,374.30024896,28458054,835424309.78,0.7378,-0.7802,1,0
2021-03-30,sz.000063,371.63393104,375.1890216,369.85638576,372.26876864,371.379996,25426372,745634741.11,0.6592,0.2393,1,0
2021-04-01,sz.000063,380.39468992,380.39468992,372.39573616,373.15754128,372.26876864,36551110,1082606077.18,0.9476,0.2387,1,0
2021-04-02,sz.000063,373.2845088,378.9980472,373.2845088,375.8238592,373.15754128,29682633,879073472.24,0.7695,0.7145,1,0
2021-04-06,sz.000063,375.95082672,376.07779424,372.39573616,373.2845088,375.8238592,23166968,681679613.5,0.6006,-0.6757,1,0
2021-04-07,sz.000063,372.39573616,372.39573616,366.3012952,369.60245072,373.2845088,31747742,921424121.3,0.823,-0.9864,1,0
2021-04-08,sz.000063,368.205808,369.85638576,365.6664576,366.55523024,369.60245072,26839333,776485813.67,0.6958,-0.8245,1,0
2021-04-09,sz.000063,366.68219776,367.5709704,357.79447136,359.44504912,366.55523024,38656981,1098384588.97,1.0022,-1.9397,1,0
2021-04-12,sz.000063,359.82595168,360.46078928,355.63602352,355.76299104,359.44504912,25590610,720662216.09,0.6634,-1.0244,1,0
2021-04-13,sz.000063,355.88995856,358.55627648,353.73151072,355.509056,355.76299104,24007110,672310932.67,0.6224,-0.0714,1,0
2021-04-14,sz.000063,355.509056,357.66750384,353.22364064,356.52479616,355.509056,32701281,914640427.95,0.8478,0.2857,1,0
2021-04-15,sz.000063,355.63602352,355.63602352,351.44609536,351.95396544,356.52479616,26086406,724986578.75,0.6763,-1.2821,1,0
2021-04-16,sz.000063,352.84273808,361.34956192,351.7000304,360.07988672,351.95396544,37768398,1062602790.99,0.9791,2.3088,1,0
2021-04-19,sz.000063,358.0484064,369.22154816,357.54053632,367.19006784,360.07988672,46675442,1345118927.64,1.21,1.9746,1,0
2021-04-20,sz.000063,366.17432768,368.45974304,362.61923712,362.87317216,367.19006784,29867868,859271938.52,0.7743,-1.1757,1,0
2021-04-21,sz.000063,362.23833456,362.23833456,358.17537392,359.3180816,362.87317216,20996111,594977287.24,0.5443,-0.9797,1,0
2021-04-22,sz.000063,358.17537392,384.076748,358.17537392,374.93508656,359.3180816,76505874,2238987799.61,1.9834,4.3463,1,0
2021-04-23,sz.000063,372.39573616,376.58566432,369.98335328,370.61819088,374.93508656,42719800,1253695758.15,1.1075,-1.1514,1,0
2021-04-26,sz.000063,370.7451584,378.74411216,368.58671056,369.98335328,370.61819088,45461184,1337860385.12,1.1786,-0.1713,1,0
2021-04-27,sz.000063,369.60245072,372.0148336,365.41252256,369.85638576,369.98335328,28923576,840137310.49,0.7498,-0.0343,1,0
2021-04-28,sz.000063,369.34851568,375.44295664,367.06310032,375.31598912,369.85638576,31594722,924974542.93,0.8191,1.4761,1,0
2021-04-29,sz.000063,376.4586968,380.52165744,370.23728832,370.61819088,375.31598912,45919382,1357031929.69,1.1904,-1.2517,1,0
2021-04-30,sz.000063,370.36425584,372.52270368,365.28555504,367.5709704,370.61819088,33498152,969507406.78,0.8684,-0.8222,1,0
2021-05-06,sz.000063,366.3012952,367.95187296,361.60349696,362.11136704,367.5709704,26568483,762244099.03,0.6888,-1.4853,1,0
2021-05-07,sz.000063,361.98439952,365.15858752,356.90569872,357.28660128,362.11136704,28147320,798378096.39,0.7297,-1.3324,1,0
2021-05-10,sz.000063,357.03266624,360.33382176,352.334868,359.69898416,357.28660128,25772176,725624563.75,0.6681,0.6752,1,0
2021-05-11,sz.000063,357.03266624,361.73046448,356.90569872,361.09562688,359.69898416,23095984,653838753.18,0.5987,0.3883,1,0
2021-05-12,sz.000063,359.69898416,363.88891232,358.683244,362.87317216,361.09562688,24001537,683996096.52,0.6222,0.4923,1,0
2021-05-13,sz.000063,360.20685424,365.03162,357.54053632,357.79447136,362.87317216,32051095,910719656.82,0.8309,-1.3996,1,0
2021-05-14,sz.000063,359.9529192,371.25302848,356.7787312,369.22154816,357.79447136,46844603,1346329166.46,1.2144,3.1938,1,0
2021-05-17,sz.000063,367.82490544,374.554184,367.5709704,370.1103208,369.22154816,41076828,1202225864.93,1.0649,0.2407,1,0
