date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2021-01-04,sz.300601,260.017904,264.4775134,246.00414836,250.91727736,263.797234,14083921,2365335432.22,2.8772,-4.8825,1,0
2021-01-05,sz.300601,247.924048,247.924048,219.63954228,235.84530932,250.91727736,20516036,3136635849.93,4.1912,-6.0067,1,0
2021-01-06,sz.300601,232.7311414,244.144718,229.783264,243.88772356,235.84530932,11850054,1858939565.14,2.4177,3.41,1,0
2021-01-07,sz.300601,244.94593596,250.01023816,240.07815892,244.900584,243.88772356,7588899,1229454310.27,1.5483,0.4153,1,0
2021-01-08,sz.300601,243.6911984,254.46984756,243.388852,252.7615904,244.900584,8381546,1389895567.82,1.71,3.2099,1,0
2021-01-11,sz.300601,252.21736688,252.21736688,234.31846,237.02446028,252.7615904,8835359,1411605679.73,1.8026,-6.2261,1,0
2021-01-12,sz.300601,239.56417004,242.7841592,234.0161136,239.7606952,237.02446028,5269183,831029906.32,1.075,1.1544,1,0
2021-01-13,sz.300601,237.0395776,239.609522,229.81349864,231.88457148,239.7606952,7260711,1125549548.62,1.4813,-3.285,1,0
2021-01-14,sz.300601,229.3297444,232.050862,223.22234712,223.4339896,231.88457148,5538098,829247051.97,1.1299,-3.6443,1,0
2021-01-15,sz.300601,223.4339896,229.49603492,217.74987728,228.1203588,223.4339896,6010849,891196777.34,1.2263,2.0974,1,0
2021-01-18,sz.300601,225.248068,226.003934,220.1081792,221.58967656,228.1203588,6620668,976098407.23,1.3508,-2.8628,1,0
2021-01-19,sz.300601,223.736336,224.76431376,211.65759732,211.65759732,221.58967656,7460461,1074026615.9,1.5221,-4.4822,1,0
2021-01-20,sz.300601,213.3053852,236.54070604,211.7180666,236.54070604,211.65759732,10037736,1499955176.63,2.0479,11.7563,1,0
2021-01-21,sz.300601,238.09779,251.18938912,237.341924,249.70789176,236.54070604,10162743,1650174603.78,2.0734,5.5666,1,0
2021-01-22,sz.300601,249.34507608,257.49331156,246.412316,256.6920936,249.70789176,8240862,1385268594.99,1.6813,2.7969,1,0
2021-01-25,sz.300601,258.97480892,265.4601392,256.6920936,258.506172,256.6920936,8050777,1389385387.91,1.6425,0.7067,1,0
2021-01-26,sz.300601,255.04430572,257.0700266,248.92179112,250.191646,258.506172,8288833,1385959800.3,1.6911,-3.2164,1,0
2021-01-27,sz.300601,249.43578,249.43578,237.81056092,244.99128792,250.191646,6310077,1019966037.67,1.2874,-2.0785,1,0
2021-01-28,sz.300601,242.30040496,250.191646,230.55424732,231.34034796,244.99128792,6639317,1050840197.72,1.3537,-5.572,1,0
2021-01-29,sz.300601,232.17180056,233.36606884,220.87916252,223.5851628,231.34034796,7267201,1092086894.35,1.4817,-3.3523,1,0
2021-02-01,sz.300601,226.003934,242.82951116,223.57004548,238.23384588,223.5851628,7192203,1123197390.6,1.4664,6.5517,1,0
2021-02-02,sz.300601,238.853656,240.95496348,232.806728,238.67224816,238.23384588,6660595,1041402083.07,1.358,0.184,1,0
2021-02-03,sz.300601,247.83334408,269.67787148,244.900584,268.1812568,238.67224816,19012775,3283927956.88,3.8765,12.3638,1,0
2021-02-04,sz.300601,263.041368,276.3446096,262.7390216,273.6990786,268.1812568,12193349,2195508669.2,2.4861,2.0575,1,0
2021-02-05,sz.300601,272.11176,287.22908,264.5531,276.3446096,273.6990786,15718796,2896735563.77,3.2049,0.9666,1,0
2021-02-08,sz.300601,276.0422632,280.426286,269.88951396,276.0422632,276.3446096,8438055,1535568755.94,1.719,-0.1094,1,0
2021-02-09,sz.300601,279.67042,285.717348,269.088296,275.46780504,276.0422632,8208488,1502103527.81,1.6723,-0.2081,1,0
2021-02-10,sz.300601,280.44140332,312.73199884,275.15034132,307.1839424,275.46780504,13042191,2553152145.27,2.657,11.5136,1,0
2021-02-18,sz.300601,307.47117148,307.62234468,264.82521176,264.91591568,307.1839424,16457117,3076070793.26,3.3527,-13.7598,1,0
2021-02-19,sz.300601,266.92651924,272.11176,248.679914,257.750306,264.91591568,12171189,2070339976.19,2.4796,-2.7049,1,0
2021-02-22,sz.300601,256.20833936,256.22345668,237.32680668,240.35027068,257.750306,11684331,1896209969.74,2.3804,-6.7507,1,0
2021-02-23,sz.300601,240.10839356,249.67765712,235.84530932,242.98068436,240.35027068,8442439,1362498334.04,1.7199,1.0944,1,0
2021-02-24,sz.300601,241.54453896,241.54453896,230.7658898,233.44165544,242.98068436,7990007,1245381481.42,1.6278,-3.9258,1,0
2021-02-25,sz.300601,236.8128178,241.121254,229.75302936,234.31846,233.44165544,6659451,1038731600.25,1.3567,0.3756,1,0
2021-02-26,sz.300601,226.3062804,240.2142148,224.7945484,231.3705826,234.31846,5827977,897720206.26,1.1873,-1.2581,1,0
2021-03-01,sz.300601,236.1325384,238.5513096,225.89811276,234.63592372,231.3705826,5710438,881699756.78,1.1634,1.4113,1,0
2021-03-02,sz.300601,235.5278456,238.5513096,227.42496208,229.4809176,234.63592372,5512444,846622005.74,1.123,-2.197,1,0
2021-03-03,sz.300601,229.75302936,231.5973424,224.76431376,231.294996,229.4809176,5581975,843677605.07,1.1372,0.7905,1,0
2021-03-04,sz.300601,228.271532,230.50889536,217.3870616,218.43015668,231.294996,9210348,1356796956.16,1.8764,-5.5621,1,0
2021-03-05,sz.300601,216.16255868,222.19436936,213.154212,215.82997764,218.43015668,5517841,793631724.3,1.1241,-1.1904,1,0
2021-03-08,sz.300601,216.177676,220.1081792,203.34307132,204.77921672,215.82997764,7811956,1092356617.73,1.5915,-5.1201,1,0
2021-03-09,sz.300601,202.69302656,204.3861664,189.1176732,189.4200196,204.77921672,9320001,1208965150.23,1.8987,-7.5004,1,0
2021-03-10,sz.300601,193.54704796,197.08450084,189.4200196,193.51681332,189.4200196,7100319,908902784.7,1.4465,2.1628,1,0
2021-03-11,sz.300601,194.27267932,199.20092564,192.00508132,194.7110816,193.51681332,6343383,821143028.22,1.2923,0.6171,1,0
2021-03-12,sz.300601,196.01117112,196.2228136,183.32773964,187.92340492,194.7110816,9247774,1147322030.28,1.884,-3.486,1,0
