date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2021-01-04,sh.601669,4.65202182,4.76048865,4.61586621,4.72433304,4.67612556,73282201,284416334.43,0.6576,1.0309,1,0
2021-01-05,sh.601669,4.7002293,4.77254052,4.61586621,4.72433304,4.72433304,81745215,318703038.25,0.7335,0.0,1,0
2021-01-06,sh.601669,4.7002293,4.85690361,4.67612556,4.80869613,4.72433304,112854940,448331850.32,1.0127,1.7857,1,0
2021-01-07,sh.601669,4.820748,4.85690361,4.7002293,4.78459239,4.80869613,101245735,401592367.4,0.9085,-0.5013,1,0
2021-01-08,sh.601669,4.77254052,4.820748,4.71228117,4.74843678,4.78459239,62383527,246505519.42,0.5598,-0.7557,1,0
2021-01-11,sh.601669,4.76048865,4.79664426,4.62791808,4.63996995,4.74843678,67398535,263047722.2,0.6048,-2.2843,1,0
2021-01-12,sh.601669,4.62791808,4.80869613,4.60381434,4.76048865,4.63996995,78791660,309240430.72,0.707,2.5974,1,0
2021-01-13,sh.601669,4.72433304,5.02562979,4.7002293,4.92921483,4.76048865,216276783,876641046.24,1.9407,3.5443,1,0
2021-01-14,sh.601669,4.90511109,5.1823041,4.88100735,4.98947418,4.92921483,241389378,1010490695.4,2.166,1.2225,1,0
2021-01-15,sh.601669,4.97742231,5.03768166,4.85690361,4.88100735,4.98947418,141290913,577808225.67,1.2678,-2.1739,1,0
2021-01-18,sh.601669,4.85690361,4.92921483,4.83279987,4.85690361,4.88100735,91450619,368811453.57,0.8206,-0.4938,1,0
2021-01-19,sh.601669,4.86895548,4.89305922,4.820748,4.85690361,4.85690361,74174806,298589885.15,0.6656,0.0,1,0
2021-01-20,sh.601669,4.84485174,4.86895548,4.77254052,4.79664426,4.85690361,81338806,325434100.45,0.7299,-1.2407,1,0
2021-01-21,sh.601669,4.78459239,4.83279987,4.74843678,4.80869613,4.79664426,67431414,268139905.98,0.6051,0.2513,1,0
2021-01-22,sh.601669,4.78459239,4.79664426,4.67612556,4.68817743,4.80869613,75249526,294561750.25,0.6752,-2.5063,1,0
2021-01-25,sh.601669,4.68817743,4.7002293,4.61586621,4.65202182,4.68817743,60218892,232417527.46,0.5404,-0.7712,1,0
2021-01-26,sh.601669,4.63996995,4.7002293,4.62791808,4.66407369,4.65202182,44862545,173339224.75,0.4026,0.2591,1,0
2021-01-27,sh.601669,4.67612556,4.73638491,4.65202182,4.66407369,4.66407369,42758017,166274199.68,0.3837,0.0,1,0
2021-01-28,sh.601669,4.63996995,4.63996995,4.5797106,4.59176247,4.66407369,47772965,182467750.29,0.4287,-1.5504,1,0
