date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2021-01-04,sz.000333,458.4154449,472.55262495,454.38287223,458.92531041,456.28328004,33882680,3379358338.88,0.4951,0.579,1,0
2021-01-05,sz.000333,454.56827787,472.50627354,449.608677,470.65221714,458.92531041,35114801,3515823440.43,0.5131,2.5553,1,0
2021-01-06,sz.000333,477.419523,485.7627768,461.89180065,467.96383536,470.65221714,36020338,3662399226.25,0.5249,-0.5712,1,0
2021-01-07,sz.000333,472.784382,489.79534947,469.0762692,485.85547962,467.96383536,45140052,4687111402.95,0.6578,3.8233,1,0
2021-01-08,sz.000333,482.054664,485.2992627,469.30802625,477.46587441,485.85547962,33069048,3409516335.07,0.4819,-1.7268,1,0
2021-01-11,sz.000333,478.3465512,483.58426053,463.5141,468.149241,477.46587441,34189187,3506431349.8,0.4982,-1.9513,1,0
2021-01-12,sz.000333,464.95099371,483.35250348,464.95099371,482.5181781,468.149241,35529586,3670971677.79,0.5177,3.0693,1,0
2021-01-13,sz.000333,486.689805,489.98075511,472.96978764,478.99547094,482.5181781,34348739,3560584734.61,0.5005,-0.7301,1,0
2021-01-14,sz.000333,480.2006076,483.86236899,460.68666399,461.6600436,478.99547094,37381528,3780641251.0,0.5447,-3.6191,1,0
2021-01-15,sz.000333,459.01801323,464.30207397,448.58894598,462.07720629,461.6600436,35743823,3524028265.18,0.5209,0.0904,1,0
2021-01-18,sz.000333,460.68666399,464.81193948,451.97259891,459.43517592,462.07720629,28677180,2849767542.52,0.4179,-0.5718,1,0
2021-01-19,sz.000333,462.07720629,464.02396551,437.92812168,439.64312385,459.43517592,42307807,4087923629.78,0.6165,-4.3079,1,0
2021-01-20,sz.000333,444.973536,454.80003492,442.6559655,446.27137548,439.64312385,32202327,3113133925.48,0.4693,1.5076,1,0
2021-01-21,sz.000333,450.72111084,468.149241,449.56232559,463.9776141,446.27137548,40930171,4074982807.96,0.5964,3.9676,1,0
2021-01-22,sz.000333,463.5141,470.60586573,454.66098069,466.15613037,463.9776141,30775582,3069095083.23,0.4485,0.4695,1,0
2021-01-25,sz.000333,468.149241,476.81695467,457.4884167,472.69167918,466.15613037,37735992,3802697804.67,0.5499,1.402,1,0
2021-01-26,sz.000333,468.149241,468.149241,450.0721911,453.96570954,472.69167918,40767026,4006657956.91,0.5941,-3.9616,1,0
2021-01-27,sz.000333,450.02583969,462.77247744,446.73488958,454.01206095,453.96570954,28326851,2781047165.74,0.4124,0.0102,1,0
2021-01-28,sz.000333,447.43016073,449.56232559,438.0208245,441.08001756,454.01206095,31057214,2959282874.76,0.4521,-2.8484,1,0
2021-01-29,sz.000333,441.96069435,453.27043839,434.22000888,446.50313253,441.08001756,37246508,3576339185.62,0.5422,1.2295,1,0
2021-02-01,sz.000333,446.50313253,456.60773991,438.76244706,455.1708462,446.50313253,28606271,2784442679.93,0.4164,1.9412,1,0
2021-02-02,sz.000333,451.4627334,464.4411282,451.4627334,456.93219978,455.1708462,31544355,3125263982.63,0.4592,0.387,1,0
2021-02-03,sz.000333,461.1965295,465.3681564,445.9005642,452.57516724,456.93219978,32395536,3178416761.84,0.4716,-0.9535,1,0
2021-02-04,sz.000333,446.31772689,452.34341019,441.40447743,446.8275924,452.57516724,36486402,3514921395.08,0.5312,-1.27,1,0
2021-02-05,sz.000333,449.51597418,455.95882017,440.338395,450.76746225,446.8275924,37262393,3600456019.75,0.5423,0.8817,1,0
2021-02-08,sz.000333,450.81381366,451.9262475,437.5573104,448.03272906,450.76746225,37743563,3614401923.5,0.5492,-0.6067,1,0
2021-02-09,sz.000333,452.34341019,472.3208679,449.09881149,472.3208679,448.03272906,53712247,5347054458.81,0.7815,5.4211,1,0
2021-02-10,sz.000333,477.04871172,500.595228,470.4668115,496.46995251,472.3208679,53679907,5641813861.73,0.781,5.1129,1,0
2021-02-18,sz.000333,496.51630392,497.62873776,449.608677,455.6343603,496.46995251,94042908,9433652348.15,1.3683,-8.2252,1,0
2021-02-19,sz.000333,440.38474641,455.77341453,440.38474641,454.19746659,455.6343603,69387709,6722204870.35,1.0096,-0.3154,1,0
2021-02-22,sz.000333,450.90651648,450.90651648,418.92404358,419.20215204,454.19746659,90398609,8324148676.59,1.3153,-7.7049,1,0
2021-02-23,sz.000333,412.75930605,426.432972,411.73957503,421.51972254,419.20215204,60475531,5494666678.41,0.8799,0.5529,1,0
2021-02-24,sz.000333,445.4370501,457.0249026,431.62432992,440.43109782,421.51972254,100354633,9587929017.3,1.4597,4.4865,1,0
2021-02-25,sz.000333,439.8748809,444.00015639,426.8964861,435.42514554,440.43109782,41637020,3934052806.94,0.6056,-1.1366,1,0
2021-02-26,sz.000333,426.432972,437.97447309,421.89053382,431.43892428,435.42514554,60112303,5569084604.85,0.8744,-0.9155,1,0
2021-03-01,sz.000333,432.9221694,441.7289373,425.64499803,432.59770953,431.43892428,37084402,3475175712.47,0.5394,0.2686,1,0
2021-03-02,sz.000333,439.73582667,444.23191344,429.6775707,433.47838632,432.59770953,47339822,4469317460.67,0.6886,0.2036,1,0
2021-03-03,sz.000333,429.81662493,434.40541452,424.1154015,433.33933209,433.47838632,33059187,3072269141.05,0.4809,-0.0321,1,0
2021-03-04,sz.000333,427.45270302,429.12135378,414.56701104,416.6991759,433.33933209,44634820,4041856217.02,0.6492,-3.84,1,0
2021-03-05,sz.000333,405.89929737,418.41417807,398.76118023,414.8451195,416.6991759,40948709,3626107488.05,0.5956,-0.4449,1,0
2021-03-08,sz.000333,410.2099785,415.81849911,396.02644704,396.3045555,414.8451195,48829340,4260904988.16,0.7102,-4.4693,1,0
2021-03-09,sz.000333,392.36468565,393.5234709,378.6910197,380.03521059,396.3045555,56896333,4741767513.55,0.8276,-4.1053,1,0
2021-03-10,sz.000333,389.351844,392.41103706,380.31331905,387.77589606,380.03521059,47316765,3942944036.09,0.6882,2.0368,1,0
2021-03-11,sz.000333,392.04022578,400.9396965,387.0342735,398.39036895,387.77589606,40811644,3495579073.9,0.5936,2.7373,1,0
2021-03-12,sz.000333,398.48307177,408.03146223,394.96036461,398.43672036,398.39036895,32364532,2806048361.28,0.4708,0.0116,1,0
2021-03-15,sz.000333,393.10630821,393.24536244,375.446421,381.4721043,398.43672036,49051385,4035896117.27,0.7135,-4.2578,1,0
2021-03-16,sz.000333,381.98196981,384.85575723,377.99574855,382.76994378,381.4721043,34926115,2877253721.9,0.508,0.3402,1,0
2021-03-17,sz.000333,380.12791341,390.64968348,377.11507176,389.67630387,382.76994378,37095228,3081574544.19,0.5396,1.8043,1,0
2021-03-18,sz.000333,393.89428218,403.257267,393.0599568,401.91307611,389.67630387,34703588,2986372291.61,0.5048,3.1402,1,0
2021-03-19,sz.000333,393.986985,401.4032106,391.15954899,395.42387871,401.91307611,30529185,2610073941.42,0.4441,-1.6146,1,0
2021-03-22,sz.000333,393.94063359,396.44360973,381.4721043,386.47805658,395.42387871,31409285,2620969353.45,0.4569,-2.2623,1,0
2021-03-23,sz.000333,386.47805658,386.75616504,375.77088087,377.62493727,386.47805658,36969597,3027477688.67,0.5377,-2.2907,1,0
2021-03-24,sz.000333,377.7639915,382.30642968,376.65155766,378.59831688,377.62493727,23536758,1923709265.33,0.3424,0.2578,1,0
2021-03-25,sz.000333,375.77088087,377.7639915,367.5666813,373.96317588,378.59831688,24752483,1990607891.35,0.36,-1.2243,1,0
2021-03-26,sz.000333,375.9099351,382.3991325,370.62587436,380.12791341,373.96317588,31083020,2533340710.09,0.4521,1.6485,1,0
2021-03-29,sz.000333,379.89615636,382.26007827,375.446421,377.62493727,380.12791341,29453524,2406536460.17,0.4284,-0.6585,1,0
2021-03-30,sz.000333,379.43264226,386.98792209,375.95628651,382.26007827,377.62493727,35197152,2898062093.17,0.512,1.2274,1,0
2021-03-31,sz.000333,383.7896748,384.62400018,376.60520625,381.14764443,382.26007827,27352508,2245618464.95,0.3979,-0.291,1,0
2021-04-01,sz.000333,380.081562,398.06590908,379.1545338,395.98009563,381.14764443,35204512,2987621061.16,0.5121,3.8915,1,0
2021-04-02,sz.000333,396.3045555,410.2099785,393.5234709,403.76713251,395.98009563,29152538,2546245045.0,0.424,1.9665,1,0
2021-04-06,sz.000333,403.99888956,406.5018657,389.351844,391.11319758,403.76713251,25766840,2190978643.55,0.3748,-3.134,1,0
2021-04-07,sz.000333,391.11319758,391.62306309,379.52534508,383.41886352,391.11319758,29977466,2467818330.52,0.436,-1.9673,1,0
2021-04-08,sz.000333,382.44548391,384.34589172,379.84980495,383.23345788,383.41886352,18211406,1502128962.61,0.2649,-0.0484,1,0
2021-04-09,sz.000333,384.62400018,384.62400018,371.92371384,372.89709345,383.23345788,32238556,2610503420.46,0.4689,-2.6971,1,0
2021-04-12,sz.000333,372.2018223,376.65155766,366.176139,367.5666813,372.89709345,25277487,2012933376.37,0.3677,-1.4295,1,0
2021-04-13,sz.000333,365.94438195,369.97695462,362.09721492,364.73924529,367.5666813,21362828,1686748572.02,0.3107,-0.7692,1,0
2021-04-14,sz.000333,366.03708477,373.73141883,365.66627349,371.41384833,364.73924529,21069229,1685738018.45,0.3065,1.83,1,0
2021-04-15,sz.000333,371.41384833,375.446421,365.99073336,372.10911948,371.41384833,17445281,1393503616.23,0.2537,0.1872,1,0
2021-04-16,sz.000333,372.2018223,373.5923646,365.7126249,370.3477659,372.10911948,15347818,1222574469.17,0.2232,-0.4733,1,0
2021-04-19,sz.000333,370.81128,380.59142751,366.176139,378.55196547,370.3477659,26759356,2175802611.45,0.3892,2.2153,1,0
2021-04-20,sz.000333,375.81723228,377.7639915,370.95033423,375.35371818,378.55196547,23153386,1866628041.9,0.3368,-0.8449,1,0
2021-04-21,sz.000333,370.81128,373.1288505,368.4937095,368.9572236,375.35371818,25190606,2010416382.9,0.3664,-1.7041,1,0
2021-04-22,sz.000333,369.04992642,372.15547089,366.22249041,371.97006525,368.9572236,23096878,1841507581.13,0.336,0.8166,1,0
2021-04-23,sz.000333,372.75803922,389.351844,372.01641666,388.70292426,371.97006525,45141558,3741273480.19,0.6566,4.4984,1,0
2021-04-26,sz.000333,390.46427784,393.986985,370.39411731,370.95033423,388.70292426,41802919,3424838078.77,0.608,-4.5671,1,0
2021-04-27,sz.000333,370.67222577,378.36655983,367.1031672,374.14858152,370.95033423,19000053,1531692781.39,0.2764,0.8622,1,0
2021-04-28,sz.000333,375.446421,378.6910197,371.18209128,377.99574855,374.14858152,17902575,1452688936.66,0.2604,1.0282,1,0
2021-04-29,sz.000333,380.35967046,390.51062925,379.47899367,386.70981363,377.99574855,29815963,2474034002.32,0.4337,2.3053,1,0
2021-04-30,sz.000333,392.5964427,392.5964427,369.8842518,371.59925397,386.70981363,58237700,4702118111.42,0.8471,-3.9075,1,0
2021-05-06,sz.000333,362.97789171,369.74519757,359.17707609,359.50153596,371.59925397,49115946,3841342540.14,0.7138,-3.2556,1,0
2021-05-07,sz.000333,358.7599134,359.45518455,347.635575,348.00638628,359.50153596,43729514,3308412782.76,0.6355,-3.1975,1,0
2021-05-10,sz.000333,351.48274203,367.1031672,351.48274203,361.540998,348.00638628,54943986,4265793301.19,0.7985,3.8892,1,0
2021-05-11,sz.000333,357.64747956,366.176139,355.00544919,363.11694594,361.540998,27333464,2127125363.05,0.3972,0.4359,1,0
2021-05-12,sz.000333,365.7126249,365.7126249,354.35652945,358.15734507,363.11694594,27341035,2106351405.04,0.3973,-1.3658,1,0
2021-05-13,sz.000333,352.82693292,354.5882865,347.635575,348.33084615,358.15734507,32950762,2482149422.13,0.4788,-2.7436,1,0
2021-05-14,sz.000333,349.0261173,354.91274637,341.23908042,354.31017804,348.33084615,30481113,2297770135.76,0.443,1.7166,1,0
2021-05-17,sz.000333,356.905857,367.79843835,356.34964008,363.3950544,354.31017804,41809230,3276114961.46,0.6076,2.5641,1,0
2021-05-18,sz.000333,369.8842518,370.81128,357.8328852,360.79937544,363.3950544,26855515,2106345388.96,0.3903,-0.7143,1,0
2021-05-19,sz.000333,357.13761405,360.42856416,354.5882865,358.43545353,360.79937544,22505269,1736145799.33,0.3271,-0.6552,1,0
2021-05-20,sz.000333,366.176139,374.79750126,359.54788737,374.0558787,358.43545353,73533093,5884598445.67,1.0686,4.3579,1,0
2021-05-21,sz.000333,375.9099351,385.1802171,374.84385267,377.99574855,374.0558787,50222428,4119754982.18,0.7298,1.0533,1,0
2021-05-24,sz.000333,383.00170083,384.716703,375.21466395,381.0085902,377.99574855,36014944,2956298659.66,0.5234,0.7971,1,0
2021-05-25,sz.000333,384.57764877,390.2788722,381.65750994,386.01454248,381.0085902,41746744,3478155176.22,0.6067,1.3139,1,0
2021-05-26,sz.000333,388.8883299,393.94063359,382.16737545,390.88144053,386.01454248,36038191,3021930596.67,0.5237,1.2608,1,0
2021-05-27,sz.000333,393.94063359,394.12603923,386.70981363,388.8883299,390.88144053,29615660,2486863194.88,0.4304,-0.5099,1,0
2021-05-28,sz.000333,386.01454248,386.06089389,380.081562,382.53818673,388.8883299,38741514,3196831619.4,0.563,-1.6329,1,0
2021-05-31,sz.000333,383.3261607,383.3261607,369.60614334,375.446421,382.53818673,52395101,4208270644.41,0.7614,-1.8539,1,0
2021-06-01,sz.000333,375.02925831,375.02925831,367.65938412,371.59925397,375.446421,47337082,3776569523.81,0.6879,-1.0247,1,0
2021-06-02,sz.000333,375.3814444,375.854217,371.126491,375.854217,371.5992636,34284654,2706286214.99,0.4982,1.145,1,0
2021-06-03,sz.000333,375.854217,377.46164384,366.30421048,368.43168718,375.854217,41669046,3262957927.49,0.6056,-1.9748,1,0
2021-06-04,sz.000333,365.97326966,371.126491,361.81287078,367.48614198,368.43168718,28306603,2194930977.74,0.4113,-0.2566,1,0
2021-06-07,sz.000333,367.5806965,367.67525102,360.0163349,362.99480228,367.48614198,27727499,2124176470.2,0.4029,-1.2222,1,0
2021-06-08,sz.000333,363.5621294,365.4532198,357.55791738,359.40173052,362.99480228,32089344,2446270922.41,0.4663,-0.9898,1,0
2021-06-09,sz.000333,360.58366202,362.23836612,355.5249952,357.36880834,359.40173052,25138005,1900479893.76,0.3653,-0.5656,1,0
2021-06-10,sz.000333,357.8888582,359.02351244,354.1066774,356.4705404,357.36880834,32075563,2419455653.04,0.4661,-0.2514,1,0
2021-06-11,sz.000333,356.4705404,357.4160856,347.53513826,349.851724,356.4705404,46521367,3444045477.56,0.676,-1.8568,1,0
2021-06-15,sz.000333,349.23711962,352.215587,340.396272,346.25865224,349.851724,44590030,3245305091.76,0.648,-1.027,1,0
2021-06-16,sz.000333,349.3789514,355.80865876,346.0695432,354.57945,346.25865224,44970185,3359892667.49,0.6535,2.4031,1,0
2021-06-17,sz.000333,355.5249952,356.13959958,346.5423158,347.29875196,354.57945,29929238,2214198276.49,0.4349,-2.0533,1,0
2021-06-18,sz.000333,346.68414758,350.84454646,341.15270816,348.9061788,347.29875196,38817863,2831313013.09,0.5641,0.4628,1,0
2021-06-21,sz.000333,349.00073332,349.04801058,336.47225942,340.396272,348.9061788,47738643,3450150410.86,0.6937,-2.439,1,0
2021-06-22,sz.000333,339.9234994,344.55667088,335.10121888,336.99230928,340.396272,41034169,2942649258.16,0.5963,-1.0,1,0
2021-06-23,sz.000333,336.66136846,346.49503854,334.2502282,345.92771142,336.99230928,43404358,3139531924.19,0.6307,2.6515,1,0
2021-06-24,sz.000333,352.215587,352.215587,343.75295746,346.0695432,345.92771142,28702816,2103271900.98,0.4171,0.041,1,0
2021-06-25,sz.000333,347.81880182,348.81162428,343.13835308,345.92771142,346.0695432,41255201,3019079359.14,0.5995,-0.041,1,0
2021-06-28,sz.000333,345.97498868,349.3789514,342.760135,346.11682046,345.92771142,30684568,2240502743.86,0.4459,0.0547,1,0
2021-06-29,sz.000333,348.81162428,348.9061788,336.80320024,337.84329996,346.11682046,34979911,2518377824.45,0.5081,-2.3904,1,0
