date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2021-01-04,sh.601231,41.8828909,42.6629137,41.601216,42.3162369,41.9045582,10847044,211236860.33,0.4968,0.9824,1,0
2021-01-05,sh.601231,42.3812388,44.3096285,42.3379042,44.201292,42.3162369,20438030,412427338.4,0.9361,4.4547,1,0
2021-01-06,sh.601231,44.0929555,44.3529631,43.3129327,43.5729403,44.201292,13921926,280976694.17,0.6376,-1.4216,1,0
2021-01-07,sh.601231,43.5729403,44.1579574,42.0995639,42.7929175,43.5729403,12646802,249760519.71,0.5792,-1.7902,1,0
2021-01-08,sh.601231,42.5545772,44.5046342,42.5545772,44.0062863,42.7929175,14979903,303524849.65,0.6861,2.8354,1,0
2021-01-11,sh.601231,44.417965,45.1113186,44.0062863,44.6996399,44.0062863,17782369,365707529.87,0.8144,1.5756,1,0
2021-01-12,sh.601231,44.0279536,45.6746684,44.0062863,44.3312958,44.6996399,18792216,386879596.47,0.8607,-0.824,1,0
2021-01-13,sh.601231,44.2446266,44.3312958,42.684581,42.8795867,44.3312958,23000894,459059491.0,1.0534,-3.2747,1,0
2021-01-14,sh.601231,42.684581,44.7863091,42.1212312,43.7462787,42.8795867,26947658,542998361.9,1.2342,2.0212,1,0
2021-01-15,sh.601231,43.5079384,43.551273,41.2545392,41.3412084,43.7462787,23197485,451011419.26,1.0624,-5.4978,1,0
2021-01-18,sh.601231,41.3628757,45.2413224,40.9078624,44.3529631,41.3412084,39797499,799231877.66,1.8227,7.2851,1,0
2021-01-19,sh.601231,44.0929555,44.1796247,42.4029061,42.6195791,44.3529631,26136519,520930928.51,1.1971,-3.9082,1,0
2021-01-20,sh.601231,42.4029061,42.684581,41.4278776,41.7962217,42.6195791,15938197,307564667.78,0.73,-1.9319,1,0
2021-01-21,sh.601231,41.7962217,42.1645658,40.084505,41.0595335,41.7962217,22861234,437770499.41,1.047,-1.7626,1,0
2021-01-22,sh.601231,41.0812008,41.817889,38.8494689,39.8028301,41.0595335,29404655,538407654.7,1.3467,-3.0607,1,0
2021-01-25,sh.601231,38.8711362,39.0444746,38.0261115,38.2861191,39.8028301,19468074,345911608.75,0.8916,-3.8106,1,0
