date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2021-01-04,sh.603993,21.33128856,23.06360658,20.92368432,22.18046406,21.2293875,765332016,4912775936.75,4.3323,4.48,1,0
2021-01-05,sh.603993,21.5690577,22.01062896,20.78781624,21.63699174,22.18046406,644761904,4056856033.84,3.6498,-2.4502,1,0
2021-01-06,sh.603993,22.04459598,23.0975736,21.46715664,22.9277385,21.63699174,671083280,4406709479.76,3.7988,5.9655,1,0
2021-01-07,sh.603993,22.96170552,25.23749586,22.72393638,24.99972672,22.9277385,998586992,7286581582.19,5.6527,9.037,1,0
2021-01-08,sh.603993,24.99972672,25.16956182,23.0975736,25.1355948,24.99972672,870495680,6177183130.73,4.9276,0.5435,1,0
2021-01-11,sh.603993,24.4562544,24.82989162,22.62203532,22.96170552,25.1355948,756501104,5267513112.63,4.2823,-8.6486,1,0
2021-01-12,sh.603993,22.28236512,23.98071612,21.87476088,23.36930976,22.96170552,607832288,4091712345.92,3.4407,1.7751,1,0
2021-01-13,sh.603993,23.33534274,23.91278208,21.3992226,21.87476088,23.36930976,683705344,4567590321.14,3.8702,-6.3953,1,0
2021-01-14,sh.603993,21.3992226,21.97666194,20.92368432,21.29732154,21.87476088,493799424,3111977640.91,2.7952,-2.6398,1,0
2021-01-15,sh.603993,21.3992226,21.97666194,20.7198822,21.60302472,21.29732154,444421664,2800458605.75,2.5157,1.4354,1,0
2021-01-18,sh.603993,21.0595524,21.50112366,20.61798114,21.19542048,21.60302472,416716736,2585222754.44,2.3589,-1.8868,1,0
2021-01-19,sh.603993,21.26335452,21.70492578,19.76880564,20.00657478,21.19542048,559869184,3414990873.4,3.1692,-5.609,1,0
2021-01-20,sh.603993,20.0405418,21.29732154,20.0405418,21.0595524,20.00657478,484385312,2963676497.76,2.7419,5.2632,1,0
2021-01-21,sh.603993,20.92368432,21.97666194,20.5500471,21.43318962,21.0595524,514155184,3238503394.38,2.9105,1.7742,1,0
