date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2021-01-04,sh.603259,267.2636015,275.15687885,266.4327302,271.23991415,266.5118608,16322321,2238798376.48,1.155,1.774,1,0
2021-01-05,sh.603259,270.9827397,284.474507,269.6375195,280.89384735,271.23991415,17024903,2407863215.73,1.2047,3.5592,1,0
2021-01-06,sh.603259,281.2697177,287.7979922,273.1983965,284.3558111,280.89384735,20629572,2915875742.23,1.4598,1.2325,1,0
2021-01-07,sh.603259,284.85037735,288.7871247,279.62775775,288.72777675,284.3558111,11606731,1666998425.9,0.8213,1.5375,1,0
2021-01-08,sh.603259,289.91473575,298.73779765,282.891895,289.24212565,288.72777675,16105422,2359319044.4,1.1396,0.1781,1,0
2021-01-11,sh.603259,287.8375575,299.904974,283.66341835,291.7940875,289.24212565,13969055,2076750194.73,0.9885,0.8823,1,0
2021-01-12,sh.603259,292.1897405,298.53997115,281.6653707,296.6606194,291.7940875,15557020,2284661533.28,1.1008,1.6678,1,0
2021-01-13,sh.603259,300.6567147,300.67649735,276.93731735,282.2588502,296.6606194,20485644,2954386191.24,1.4496,-4.8546,1,0
2021-01-14,sh.603259,281.9027625,288.72777675,272.22904665,280.81471675,282.2588502,14608464,2070648467.27,1.0337,-0.5116,1,0
2021-01-15,sh.603259,279.94428015,281.36863095,270.626652,275.8888369,280.81471675,15470974,2155221139.38,1.0947,-1.7541,1,0
2021-01-18,sh.603259,280.89384735,288.82669,272.0114375,284.078854,275.8888369,12866546,1843172692.77,0.9105,2.9686,1,0
2021-01-19,sh.603259,283.8810275,294.0888749,283.10950415,283.6436357,284.078854,14459716,2115893478.78,1.0232,-0.1532,1,0
2021-01-20,sh.603259,287.14516475,310.36999585,287.14516475,304.98911505,283.6436357,17434749,2679343896.71,1.2337,7.5255,1,0
2021-01-21,sh.603259,310.3897785,318.67870885,308.60934,316.5224,304.98911505,17149353,2731044082.25,1.2135,3.7815,1,0
2021-01-22,sh.603259,325.4245925,348.17464,325.4245925,348.17464,316.5224,24544548,4237474847.56,1.7368,10.0,1,0
2021-01-25,sh.603259,354.900741,364.2381518,344.21811,364.1985865,348.17464,18489911,3330533118.65,1.3084,4.6023,1,0
2021-01-26,sh.603259,358.40227005,358.40227005,336.700703,341.3694084,364.1985865,22419831,3897998364.44,1.5865,-6.2683,1,0
2021-01-27,sh.603259,341.3298431,341.3694084,327.9172064,334.82135125,341.3694084,16232367,2742517486.26,1.1486,-1.9182,1,0
2021-01-28,sh.603259,331.61656195,342.89267245,326.413725,326.413725,334.82135125,23064079,3886879464.8,1.632,-2.5111,1,0
2021-01-29,sh.603259,332.34852,339.2724475,324.43546,329.0646001,326.413725,19686096,3322460148.49,1.393,0.8121,1,0
2021-02-01,sh.603259,329.0646001,341.46832165,328.68872975,338.8767945,329.0646001,16627739,2831833505.13,1.1766,2.9818,1,0
2021-02-02,sh.603259,338.89657715,344.4950671,324.1980682,344.21811,338.8767945,13545575,2314275212.55,0.9585,1.5762,1,0
