date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2021-01-04,sh.600309,2959.4894007,3119.75410911,2949.65721,3084.68596228,2983.74213776,20779108,1938645348.4,1.4595,3.3831,1,0
2021-01-05,sh.600309,3074.1982922,3238.0681372,3056.17260925,3199.39485378,3084.68596228,24627077,2378965760.82,1.7297,3.7187,1,0
2021-01-06,sh.600309,3202.0167713,3284.93491287,3143.0236271,3225.61402898,3199.39485378,20736405,2039655419.55,1.4565,0.8195,1,0
2021-01-07,sh.600309,3401.9379822,3548.10988394,3362.28147971,3506.48694331,3225.61402898,55305421,5893180165.2,3.8845,8.7076,1,0
2021-01-08,sh.600309,3506.814683,3591.37152302,3496.9824923,3572.362621,3506.48694331,28583705,3088863128.24,2.0076,1.8787,1,0
2021-01-11,sh.600309,3571.37940193,3643.48213373,3484.52838408,3561.54721123,3572.362621,24837309,2712871153.96,1.7445,-0.3028,1,0
2021-01-12,sh.600309,3524.18488657,3729.6776722,3512.71399742,3703.78623669,3561.54721123,25284811,2804848806.28,1.7759,3.9937,1,0
2021-01-13,sh.600309,3731.31637065,3873.22765642,3670.684528,3726.07253561,3703.78623669,25014992,2879791546.93,1.757,0.6017,1,0
2021-01-14,sh.600309,3656.26398164,3722.13965933,3559.58077309,3593.66570085,3726.07253561,23226723,2569565701.25,1.6314,-3.5535,1,0
2021-01-15,sh.600309,3624.8009714,3636.59960024,3441.266745,3529.7564613,3593.66570085,21945295,2359701186.14,1.5414,-1.7784,1,0
2021-01-18,sh.600309,3549.09310301,3663.80199451,3478.95680935,3598.5817962,3529.7564613,19395570,2125975527.81,1.3623,1.9499,1,0
2021-01-19,sh.600309,3602.18693279,3677.56706149,3474.040714,3522.87392781,3598.5817962,19254043,2089901480.35,1.3523,-2.1038,1,0
2021-01-20,sh.600309,3555.9756365,3645.12083218,3542.8660489,3603.49789155,3522.87392781,13910116,1530773576.4,0.977,2.2886,1,0
2021-01-21,sh.600309,3644.4653528,3824.7221823,3621.19583481,3717.87904336,3603.49789155,24393412,2788167981.87,1.7133,3.1742,1,0
2021-01-22,sh.600309,3716.89582429,3876.50505332,3688.71021095,3817.83964881,3717.87904336,16485259,1920417013.85,1.1579,2.6886,1,0
2021-01-25,sh.600309,3831.2769761,3909.9345017,3749.66979329,3818.49512819,3817.83964881,19506458,2282324686.25,1.3701,0.0172,1,0
2021-01-26,sh.600309,3778.51088601,3873.8831358,3726.07253561,3834.554373,3818.49512819,13886840,1616892132.05,0.9754,0.4206,1,0
2021-01-27,sh.600309,3868.31156107,3896.8249141,3681.49993777,3779.16636539,3834.554373,18456584,2125884030.5,1.2963,-1.4444,1,0
2021-01-28,sh.600309,3720.82870057,3797.84752772,3621.5235745,3650.03692753,3779.16636539,16130100,1818237848.53,1.1329,-3.4169,1,0
2021-01-29,sh.600309,3761.14068244,3781.46054322,3621.5235745,3664.1297342,3650.03692753,16400013,1854946607.47,1.1519,0.3861,1,0
2021-02-01,sh.600309,3717.87904336,3967.94442683,3717.87904336,3967.94442683,3664.1297342,27528156,3266915916.12,1.9335,8.2916,1,0
2021-02-02,sh.600309,3971.87730311,3975.15470001,3787.03211795,3968.27216652,3967.94442683,23055752,2752560631.61,1.6194,0.0083,1,0
2021-02-03,sh.600309,3998.424218,4141.64646253,3925.01052744,4037.42524111,3968.27216652,22275342,2764631580.79,1.5645,1.7426,1,0
2021-02-04,sh.600309,4050.8625684,4273.7255576,4037.7529808,4260.61597,4037.42524111,23835728,3065275599.41,1.6741,5.528,1,0
2021-02-05,sh.600309,4303.2221297,4322.55877141,4020.05503754,4055.77866375,4260.61597,28830973,3665209494.35,2.025,-4.8077,1,0
2021-02-08,sh.600309,4056.43414313,4322.55877141,3958.43997582,4322.55877141,4055.77866375,22902222,2933087879.4,1.6086,6.5778,1,0
2021-02-09,sh.600309,4368.44232801,4502.81560091,4277.0029545,4502.81560091,4322.55877141,24064419,3239089678.09,1.6902,4.1701,1,0
2021-02-10,sh.600309,4440.8727995,4624.07928621,4434.97348508,4602.12072698,4502.81560091,19201336,2674446267.03,1.3486,2.2054,1,0
2021-02-18,sh.600309,4801.3864585,4921.99466442,4649.64298203,4718.79605662,4602.12072698,30570648,4464943310.7,2.1472,2.5353,1,0
2021-02-19,sh.600309,4657.50873459,4794.8316647,4318.62589513,4505.76525812,4718.79605662,31842389,4369687267.92,2.2365,-4.5145,1,0
2021-02-22,sh.600309,4588.35566,4648.98750265,4409.73752895,4435.95670415,4505.76525812,37258483,5124062159.5,2.6169,-1.5493,1,0
2021-02-23,sh.600309,4445.13341547,4506.4207375,4224.5646041,4286.50740551,4435.95670415,28745470,3818594461.88,2.019,-3.369,1,0
2021-02-24,sh.600309,4369.75328677,4455.94882524,4133.78070997,4221.94268658,4286.50740551,43807430,5747916483.51,3.0769,-1.5062,1,0
2021-02-25,sh.600309,4428.74643097,4506.4207375,4318.62589513,4370.40876615,4221.94268658,29634087,3987642307.33,2.0814,3.5165,1,0
2021-02-26,sh.600309,4322.8865111,4496.5885468,4285.85192613,4286.8351452,4370.40876615,34315770,4581239631.65,2.4102,-1.9123,1,0
2021-03-01,sh.600309,4296.6673359,4374.99712181,4114.77180795,4265.20432566,4286.8351452,38601831,5001401856.46,2.7113,-0.5046,1,0
2021-03-02,sh.600309,4326.163908,4329.11356521,3972.2050428,4012.18928498,4265.20432566,42559249,5349493516.74,2.9892,-5.9321,1,0
2021-03-03,sh.600309,4033.49236483,4149.1844754,4024.6433932,4124.60399865,4012.18928498,23746626,2971333637.65,1.6679,2.8018,1,0
2021-03-04,sh.600309,4042.66907615,4086.9139343,3712.30746863,3746.72013608,4124.60399865,44286733,5167819459.92,3.1106,-9.1617,1,0
2021-03-05,sh.600309,3711.32424956,3768.35095562,3594.64891992,3598.25405651,3746.72013608,40804988,4541174012.71,2.866,-3.9626,1,0
2021-03-08,sh.600309,3687.0715125,3845.36978277,3530.41194068,3535.98351541,3598.25405651,37986448,4259063233.55,2.668,-1.7306,1,0
2021-03-09,sh.600309,3477.3181109,3591.69926271,3408.492776,3409.14825538,3535.98351541,35023050,3762710492.93,2.4599,-3.587,1,0
2021-03-10,sh.600309,3510.0920799,3632.01124458,3499.60440982,3570.06844317,3409.14825538,33367020,3623294267.87,2.3436,4.7202,1,0
2021-03-11,sh.600309,3603.49789155,3722.46739902,3549.74858239,3629.71706675,3570.06844317,34393378,3825254516.0,2.4157,1.6708,1,0
2021-03-12,sh.600309,3730.33315158,3815.87321067,3703.458497,3812.59581377,3629.71706675,35970964,4146974762.02,2.5265,5.0384,1,0
2021-03-15,sh.600309,3860.7735482,3881.74888836,3641.1879559,3712.63520832,3812.59581377,29493675,3371744874.81,2.0715,-2.6219,1,0
2021-03-16,sh.600309,3713.2906877,3850.9413575,3712.63520832,3840.78142711,3712.63520832,20952531,2422179791.51,1.4716,3.4516,1,0
2021-03-17,sh.600309,3840.12594773,3911.57320015,3703.458497,3867.328342,3840.78142711,24210132,2836473964.04,1.7004,0.6912,1,0
2021-03-18,sh.600309,3909.9345017,3915.50607643,3834.554373,3873.22765642,3867.328342,17118373,2028002399.33,1.2023,0.1525,1,0
2021-03-19,sh.600309,3762.4516412,3824.06670292,3667.73487079,3776.87218756,3873.22765642,20599813,2359240838.93,1.4469,-2.4877,1,0
2021-03-22,sh.600309,3738.85438352,3798.17526741,3551.05954115,3614.9687807,3776.87218756,30215638,3344615782.3,2.1222,-4.2867,1,0
2021-03-23,sh.600309,3628.0783683,3630.37254613,3381.29038173,3539.588652,3614.9687807,37752157,4000646495.27,2.6516,-2.0852,1,0
2021-03-24,sh.600309,3512.71399742,3512.71399742,3285.91813194,3321.96949784,3539.588652,35697090,3648649390.8,2.5072,-6.1481,1,0
2021-03-25,sh.600309,3305.25477365,3472.40201555,3300.3386783,3404.55989972,3321.96949784,23442934,2429984075.19,1.6466,2.4862,1,0
2021-03-26,sh.600309,3462.56982485,3572.362621,3409.47599507,3547.12666487,3404.55989972,21069383,2254145742.62,1.4798,4.1875,1,0
2021-03-29,sh.600309,3585.4722086,3730.33315158,3530.08420099,3644.13761311,3547.12666487,23112908,2571465135.96,1.6234,2.7349,1,0
2021-03-30,sh.600309,3649.38144815,3683.13863622,3585.4722086,3646.10405125,3644.13761311,14953050,1661357513.89,1.0503,0.054,1,0
2021-03-31,sh.600309,3575.96775759,3601.8591931,3410.45921414,3460.9311264,3646.10405125,28518834,3019966476.25,2.0031,-5.0787,1,0
2021-04-01,sh.600309,3487.1503016,3533.0338582,3442.24996407,3531.72289944,3460.9311264,15428080,1642603534.94,1.0836,2.0455,1,0
2021-04-02,sh.600309,3556.63111588,3669.70130893,3546.79892518,3654.2975435,3531.72289944,17460344,1927507431.62,1.2264,3.4707,1,0
2021-04-06,sh.600309,3672.32322645,3680.5167187,3485.51160315,3514.68043556,3654.2975435,19504141,2101106128.07,1.3699,-3.8206,1,0
2021-04-07,sh.600309,3560.23625247,3583.50577046,3428.1571574,3504.52050517,3514.68043556,17947535,1915003116.32,1.2606,-0.2891,1,0
2021-04-08,sh.600309,3507.14242269,3600.22049465,3441.59448469,3576.29549728,3504.52050517,19466729,2110484583.74,1.3673,2.0481,1,0
2021-04-09,sh.600309,3662.16329606,3667.4071311,3492.06639695,3503.5372861,3576.29549728,17269869,1866110729.58,1.213,-2.0345,1,0
2021-04-12,sh.600309,3604.80885031,3604.80885031,3244.622931,3279.69107783,3503.5372861,48401607,4959682657.76,3.3996,-6.3891,1,0
2021-04-13,sh.600309,3310.170869,3495.67153354,3280.6742969,3422.58558267,3279.69107783,35599049,3709357852.04,2.5004,4.357,1,0
2021-04-14,sh.600309,3422.58558267,3482.56194594,3396.03866778,3451.42667539,3422.58558267,16750705,1758712241.49,1.1765,0.8427,1,0
2021-04-15,sh.600309,3474.040714,3484.52838408,3352.7770287,3425.53523988,3451.42667539,14725686,1523916138.97,1.0343,-0.7502,1,0
