# Performance Summary
Metric,Value
Symbol,510300
Start Date,2021-01-04
End Date,2025-12-31
Adjustment,hfq (back-adjusted)
Initial Price,5.7230
Final Price,5.5100
Trading Days,1212
Total Return,-0.037218
Annualized Return,-0.007855
Annualized Volatility,0.159353
Sharpe Ratio,-0.174801
Max Drawdown,-0.384652
Max Drawdown Start,2021-02-10
Max Drawdown End,2024-02-02
Calmar Ratio,-0.020421
Daily Win Rate,0.483072

# Daily Series
,Close,Cumulative NAV,Drawdown
2021-01-04,5.723,1.0,0.0
2021-01-05,5.822,1.0172986196051022,0.0
2021-01-06,5.871,1.025860562641971,0.0
2021-01-07,5.988,1.0463043858116372,0.0
2021-01-08,5.96,1.0414118469334264,-0.004676018704074969
2021-01-11,5.897,1.0304036344574523,-0.015197060788243233
2021-01-12,6.057,1.0583609994757994,0.0
2021-01-13,6.035,1.0545168617857767,-0.0036321611358758332
2021-01-14,5.932,1.036519308055216,-0.020637279181112578
2021-01-15,5.915,1.0335488380220166,-0.023443949149744014
2021-01-18,5.974,1.043858116372532,-0.013703153376258825
2021-01-19,5.899,1.0307531015201818,-0.02608552088492644
2021-01-20,5.929,1.035995107461122,-0.021132573881459282
2021-01-21,6.023,1.0524200594094009,-0.00561333993726254
2021-01-22,6.026,1.0529442600034948,-0.005118045236915836
2021-01-25,6.092,1.064476673073563,0.0
2021-01-26,5.972,1.043508649309803,-0.019697964543663682
2021-01-27,5.982,1.0452559846234495,-0.01805646749835854
2021-01-28,5.846,1.0214922243578546,-0.04038082731451076
2021-01-29,5.809,1.0150270836973618,-0.04645436638214051
2021-02-01,5.872,1.0260352961733359,-0.03611293499671708
2021-02-02,5.952,1.0400139786825096,-0.022980958634274296
2021-02-03,5.946,1.0389655774943214,-0.02396585686145769
2021-02-04,5.935,1.0370435086493102,-0.025771503611293434
2021-02-05,5.943,1.0384413769002274,-0.024458305975049277
2021-02-08,6.015,1.0510221911584836,-0.012639527248850868
2021-02-09,6.153,1.0751354184868078,0.0
2021-02-10,6.268,1.0952297745937447,0.0
2021-02-18,6.225,1.0877162327450638,-0.006860242501595559
2021-02-19,6.257,1.0933077057487333,-0.0017549457562221482
2021-02-22,6.05,1.0571378647562468,-0.03477983407785579
2021-02-23,6.035,1.054516861785777,-0.0371729419272494
2021-02-24,5.888,1.0288310326751706,-0.06062539885130813
2021-02-25,5.939,1.0377424427747688,-0.0524888321633693
2021-02-26,5.79,1.0117071466014331,-0.07626037013401388
2021-03-01,5.879,1.0272584308928887,-0.062061263560944324
2021-03-02,5.81,1.0152018172287267,-0.07306955966815543
2021-03-03,5.915,1.033548838022017,-0.05631780472239911
2021-03-04,5.748,1.0043683382841173,-0.08296107211231618
2021-03-05,5.727,1.0006989341254593,-0.08631142310146733
2021-03-08,5.541,0.9681984972916309,-0.11598596043394982
2021-03-09,5.44,0.9505504106237993,-0.13209955328653433
2021-03-10,5.461,0.9542198147824574,-0.12874920229738307
2021-03-11,5.59,0.9767604403284997,-0.10816847479259684
2021-03-12,5.603,0.9790319762362405,-0.10609444798978884
2021-03-15,5.501,0.9612091560370444,-0.12236758136566628
2021-03-16,5.534,0.9669753625720784,-0.11710274409700006
2021-03-17,5.557,0.9709942337934658,-0.11343331206126295
2021-03-18,5.597,0.9779835750480526,-0.10705169112954627
2021-03-19,5.458,0.9536956141883636,-0.12922782386726162
2021-03-22,5.515,0.9636554254761497,-0.12013401403956547
2021-03-23,5.47,0.9557924165647396,-0.12731333758774666
2021-03-24,5.394,0.9425126681810247,-0.13943841735800833
2021-03-25,5.39,0.941813734055566,-0.14007657945118002
2021-03-26,5.494,0.9599860213174917,-0.12348436502871663
2021-03-29,5.504,0.9617333566311383,-0.12188895979578751
2021-03-30,5.548,0.9694216320111839,-0.11486917677089903
2021-03-31,5.511,0.9629564913506912,-0.12077217613273694
2021-04-01,5.573,0.9737899702953006,-0.11088066368857619
2021-04-02,5.622,0.9823519133321693,-0.10306317804722331
2021-04-06,5.594,0.9774593744539587,-0.10753031269942492
2021-04-07,5.559,0.9713437008561953,-0.11311423101467699
2021-04-08,5.57,0.9732657697012066,-0.11135928525845495
2021-04-09,5.499,0.960859688974315,-0.12268666241225212
2021-04-12,5.415,0.9461820723396828,-0.13608806636885706
2021-04-13,5.408,0.9449589376201302,-0.1372048500319074
2021-04-14,5.436,0.9498514764983409,-0.1327377153797058
2021-04-15,5.408,0.9449589376201302,-0.1372048500319074
2021-04-16,5.424,0.9477546741219648,-0.13465220165922087
2021-04-19,5.55,0.969771099073913,-0.1145500957243134
2021-04-20,5.542,0.9683732308229956,-0.11582641991065679
2021-04-21,5.554,0.9704700331993718,-0.11391193363114172
2021-04-22,5.55,0.969771099073913,-0.1145500957243134
2021-04-23,5.601,0.9786825091735113,-0.10641352903637458
2021-04-26,5.537,0.9674995631661725,-0.11662412252712118
2021-04-27,5.55,0.9697710990739131,-0.1145500957243133
2021-04-28,5.588,0.9764109732657706,-0.10848755583918246
2021-04-29,5.634,0.9844487157085455,-0.10114869176770813
2021-04-30,5.589,0.9765857067971355,-0.10832801531588931
2021-05-06,5.522,0.9648785601957027,-0.11901723037651468
2021-05-07,5.461,0.9542198147824579,-0.12874920229738263
2021-05-10,5.46,0.9540450812510931,-0.12890874282067566
2021-05-11,5.486,0.9585881530665745,-0.12476068921505978
2021-05-12,5.517,0.9640048925388793,-0.1198149329929793
2021-05-13,5.462,0.9543945483138224,-0.12858966177408981
2021-05-14,5.588,0.9764109732657708,-0.10848755583918235
2021-05-17,5.649,0.9870697186790156,-0.0987555839183144
2021-05-18,5.651,0.9874191857417448,-0.09843650287172867
2021-05-19,5.637,0.9849729163026394,-0.10067007019782959
2021-05-20,5.651,0.9874191857417448,-0.09843650287172867
2021-05-21,5.596,0.9778088415166881,-0.10721123165283897
2021-05-24,5.624,0.9827013803948987,-0.10274409700063747
2021-05-25,5.788,1.0113576795387047,-0.07657945118059895
2021-05-26,5.789,1.0115324130700691,-0.07641991065730624
2021-05-27,5.808,1.0148523501659978,-0.07338864071474083
2021-05-28,5.793,1.012231347195528,-0.07578174856413433
2021-05-31,5.799,1.013279748383716,-0.07482450542437691
2021-06-01,5.807,1.0146776166346334,-0.07354818123803353
2021-06-02,5.764,1.0071640747859527,-0.08040842373962886
2021-06-03,5.723,1.000000000000001,-0.08694958519463858
2021-06-04,5.756,1.0057662065350352,-0.08168474792597225
2021-06-07,5.75,1.0047178053468473,-0.08264199106572967
2021-06-08,5.708,0.9973789970295313,-0.0893426930440322
2021-06-09,5.716,0.9987768652804486,-0.08806636885768881
2021-06-10,5.75,1.0047178053468473,-0.08264199106572967
2021-06-11,5.701,0.9961558623099784,-0.09045947670708265
2021-06-15,5.642,0.985846583959463,-0.09987236758136475
2021-06-16,5.571,0.9734405032325714,-0.11119974473516192
2021-06-17,5.582,0.9753625720775827,-0.10944479897893988
2021-06-18,5.587,0.976236239734406,-0.10864709636247538
2021-06-21,5.58,0.9750131050148534,-0.10976388002552573
2021-06-22,5.606,0.9795561768303348,-0.10561582641990985
2021-06-23,5.637,0.9849729163026394,-0.10067007019782959
2021-06-24,5.65,0.9872444522103803,-0.09859604339502148
2021-06-25,5.731,1.0013978682509184,-0.08567326100829531
2021-06-28,5.74,1.0029704700332005,-0.084237396298659
